Segment Length,Post-edit Time(ms),Edit Effort
14,52150.0,5
23,93270.0,37
47,110810.0,38
15,41490.0,20
16,21280.0,7
37,98810.0,44
32,218770.0,50
22,17850.0,6
22,10770.0,0
44,212540.0,66
34,141360.0,59
44,131340.0,63
23,70800.0,53
33,163650.0,33
26,177240.0,33
40,148880.0,65
8,28040.0,33
75,65740.0,8
39,75120.0,17
16,30610.0,29
24,18980.0,9
36,33770.0,20
15,30950.0,0
8,6840.0,41
36,22900.0,0
30,56050.0,32
12,5490.0,0
32,23010.0,32
26,28120.0,1
21,37640.0,11
19,5210.0,0
32,15920.0,1
27,24230.0,47
29,16600.0,3
11,22770.0,19
52,182310.0,58
17,29660.0,10
23,17190.0,1
5,3590.0,0
7,17940.0,60
13,58910.0,28
9,5440.0,0
14,8440.0,0
7,18710.0,50
31,107830.0,0
29,137650.0,35
28,19670.0,8
24,5720.0,1
9,36920.0,14
41,233850.0,80
25,7850.0,0
59,176210.0,58
42,31950.0,0
49,66160.0,56
31,10370.0,0
28,32700.0,6
19,11270.0,0
22,14180.0,0
29,9540.0,0
7,22460.0,71
19,90040.0,0
3,8480.0,25
3,10650.0,20
6,17040.0,52
5,34470.0,57
12,5780.0,52
26,22640.0,45
17,7220.0,4
41,106150.0,55
20,6480.0,4
28,8010.0,0
21,15840.0,5
37,336510.0,0
19,27890.0,5
31,61890.0,3
19,526790.0,11
22,13660.0,2
25,15340.0,5
11,13790.0,16
20,19040.0,28
16,6820.0,0
27,154910.0,31
29,6700.0,0
25,23150.0,7
20,15800.0,6
21,9310.0,8
15,6390.0,0
29,287280.0,5
9,8950.0,0
20,19460.0,11
17,266170.0,18
18,7990.0,8
16,10300.0,19
25,4700.0,0
16,14710.0,8
20,10770.0,0
21,4950.0,0
58,37760.0,16
8,5390.0,0
13,16960.0,22
17,703780.0,4
26,5380.0,17
26,40700.0,5
24,83320.0,15
22,6130.0,0
13,284710.0,58
12,10700.0,0
19,24490.0,28
25,41470.0,45
10,30320.0,36
6,2720.0,0
19,19680.0,75
31,37470.0,14
33,8054820.0,18
7,10050.0,9
29,40880.0,21
9,170060.0,15
35,84250.0,17
13,6680.0,0
27,7900.0,11
22,33710.0,1
54,37600.0,66
14,8100.0,0
20,23210.0,26
25,72980.0,6
21,333020.0,62
36,35000.0,5
18,18520.0,45
16,5240.0,0
35,43950.0,55
16,5700.0,0
60,5700.0,44
18,14070.0,0
30,84150.0,44
21,17190.0,9
7,17890.0,45
11,5860.0,0
15,29410.0,13
53,51460.0,28
27,40460.0,12
23,14170.0,7
35,12560.0,4
32,15840.0,3
25,24150.0,12
7,3100.0,0
22,7010.0,3
21,8640.0,0
49,109200.0,66
13,3530.0,0
19,23300.0,2
36,29850.0,18
20,25540.0,19
25,6520.0,2
30,58620.0,49
12,4800.0,0
32,83460.0,20
17,24830.0,0
24,6590.0,4
17,7450.0,3
15,7670.0,9
33,13120.0,2
14,15070.0,66
39,17120.0,3
31,11830.0,1
47,69110.0,13
60,24550.0,14
24,3770.0,0
25,6530.0,0
20,20540.0,6
19,16010.0,2
30,6850.0,0
55,32630.0,36
12,6280.0,6
70,7160.0,13
23,10760.0,0
30,24270.0,5
30,13480.0,4
13,11860.0,4
15,15590.0,6
10,5530.0,0
31,46520.0,8
23,6090.0,1
8,6870.0,7
11,8870.0,0
19,3030.0,0
21,38320.0,12
20,19210.0,2
28,6660.0,4
31,9110.0,0
82,35200.0,18
33,9130.0,1
20,7050.0,1
27,12150.0,2
29,9830.0,1
13,6910.0,0
70,14640.0,3
11,5690.0,5
32,7080.0,7
16,35540.0,21
42,11020.0,2
9,2470.0,0
19,7430.0,18
33,2644790.0,0
10,16140.0,20
14,14480.0,0
15,11690.0,9
4,3310.0,0
56,72870.0,59
40,23720.0,0
26,5780.0,0
30,14810.0,3
43,7830.0,16
31,218570.0,11
33,118230.0,14
59,27310.0,1
23,8690.0,6
39,12780.0,1
44,18410.0,14
41,10140.0,0
8,11590.0,7
10,14410.0,0
11,8300.0,11
23,9960.0,0
31,6730.0,0
23,15900.0,6
27,16890.0,0
48,38820.0,22
13,64220.0,57
23,15680.0,12
72,47550.0,65
19,9700.0,10
9,22270.0,57
42,123720.0,77
32,11480.0,9
10,21400.0,14
13,18040.0,44
47,120830.0,66
27,26360.0,38
18,4170.0,0
13,22040.0,39
20,8230.0,3
13,16620.0,14
22,3340.0,0
41,39280.0,9
44,37470.0,23
19,9750.0,8
41,21830.0,27
5,9890.0,47
26,8840.0,5
34,24110.0,19
54,229350.0,61
41,14110.0,12
19,25500.0,28
