,q,p,r,x,y,z
0,2,3,2,3,3,2
1,1,1,2,3,3,2
2,1,3,3,2,3,3
3,2,2,3,3,3,3
4,2,3,3,3,3,4
5,1,2,3,3,3,3
6,2,2,2,2,2,2
7,3,3,3,4,4,4
8,2,3,3,4,3,3
9,1,2,3,3,2,2
10,3,3,4,4,4,3
11,2,2,3,3,3,3
12,3,2,3,3,3,3
13,2,2,3,3,3,2
14,3,4,4,3,4,3
15,2,2,2,3,3,2
16,3,2,2,3,3,2
17,3,2,3,3,3,3
18,2,3,2,3,4,3
19,4,2,3,3,4,4
20,4,4,4,3,4,4
21,3,2,2,3,3,3
22,4,2,4,3,4,3
23,4,3,4,3,4,4
24,4,3,4,3,3,3
25,4,3,3,3,2,3
26,4,4,4,3,4,4
27,4,3,3,3,3,4
28,3,3,4,3,3,3
29,3,2,4,2,4,3
30,4,3,4,3,4,3
31,3,3,4,4,3,3
32,2,2,2,2,3,3
33,4,3,4,3,4,3
34,2,1,2,3,3,2
35,3,2,3,3,3,2
36,3,1,3,3,4,3
37,2,2,3,3,4,2
38,4,2,3,4,3,4
39,4,3,3,4,4,3
40,2,2,3,3,3,2
41,4,4,4,4,4,4
42,4,3,4,4,4,4
43,3,2,4,3,3,4
44,3,3,3,3,3,3
45,2,2,3,3,3,2
46,2,1,2,3,2,3
47,2,2,3,3,4,3
48,4,4,4,4,4,4
49,2,1,2,3,3,2
50,3,2,3,3,3,4
51,2,2,2,3,2,2
52,2,1,2,3,3,2
53,2,1,2,2,2,3
54,2,3,3,3,3,4
55,4,3,4,3,3,4
56,4,3,4,4,4,4
57,3,3,4,4,4,4
58,3,4,4,3,3,4
59,3,1,3,3,2,3
60,3,2,3,3,2,3
61,4,4,4,4,4,4
62,1,1,4,2,2,2
63,4,4,4,4,4,4
64,1,2,3,3,1,2
65,3,3,3,4,4,4
66,2,2,3,3,4,3
67,3,2,4,3,3,4
68,4,2,3,3,3,3
69,4,3,4,4,3,4
70,4,4,3,4,4,4
71,3,2,3,3,3,2
72,2,3,3,4,4,3
73,1,1,2,3,3,3
74,3,3,3,3,2,2
75,4,3,3,3,4,4
76,2,3,3,3,4,4
77,4,3,4,3,4,3
78,3,2,4,3,3,3
79,3,2,3,3,3,3
80,4,2,3,3,4,3
81,2,3,3,3,3,3
82,3,3,4,3,3,3
83,2,3,3,3,4,3
84,3,2,4,3,4,3
85,2,3,4,3,4,4
86,2,3,4,3,4,4
87,3,3,4,3,4,4
88,3,3,4,3,4,3
89,3,2,3,3,3,3
90,3,2,3,3,3,4
91,3,2,2,2,3,3
92,1,1,3,3,2,4
93,4,3,3,3,4,4
94,4,3,4,3,4,4
95,4,2,4,2,3,4
96,4,4,4,4,4,4
97,2,3,3,3,3,3
98,4,4,4,4,4,4
99,4,3,4,3,3,4
100,4,4,4,3,4,4
101,3,4,4,4,4,3
102,3,1,3,3,3,3
103,3,1,3,3,3,3
104,3,2,4,3,3,3
105,2,1,2,2,3,2
106,2,1,4,3,3,2
107,3,3,3,3,4,3
108,2,2,2,3,3,2
109,3,1,2,2,3,2
110,4,3,4,3,4,4
111,2,3,3,3,3,3
112,3,3,3,3,3,3
113,3,3,3,3,3,3
114,4,3,4,3,3,3
115,2,1,2,3,3,2
116,4,4,3,4,3,4
117,2,3,4,3,4,3
118,4,4,4,3,4,4
119,4,4,4,3,3,4
120,4,4,4,3,4,4
121,2,2,2,3,2,2
122,3,2,3,3,4,3
123,2,2,3,3,3,2
124,2,3,4,3,3,4
125,2,1,3,3,3,3
126,2,2,3,3,3,3
127,1,1,2,2,3,3
128,3,3,3,2,4,3
129,3,2,2,3,3,2
130,4,4,4,3,4,4
131,2,3,3,3,3,3
132,4,3,4,3,4,4
133,1,1,2,3,3,2
134,2,1,3,3,3,2
135,2,1,2,3,3,3
136,4,3,4,3,4,4
137,4,3,4,3,4,4
138,3,4,4,3,4,3
139,3,1,4,3,4,3
140,3,3,4,3,3,4
141,4,3,4,4,4,3
142,4,3,3,3,3,3
143,3,3,3,3,4,3
144,4,4,3,3,4,4
145,4,4,3,3,4,4
146,4,2,3,3,4,4
147,2,2,3,3,3,2
148,4,3,4,3,4,4
149,2,2,4,3,3,3
150,2,2,2,3,3,4
151,2,2,3,3,3,4
152,3,3,3,3,4,4
153,2,2,3,3,3,3
154,1,3,3,4,4,4
155,3,3,3,3,2,2
156,3,3,4,3,3,3
157,3,3,4,4,4,4
158,4,4,4,2,4,4
159,4,4,4,4,4,4
160,4,3,4,3,4,4
161,3,2,2,2,4,3
162,4,3,3,3,2,4
163,4,2,2,3,3,3
164,2,3,4,3,3,3
165,4,3,3,3,3,3
166,3,2,3,2,3,3
167,4,3,4,4,3,4
168,3,2,3,3,3,2
169,3,2,3,3,3,3
170,3,3,3,2,4,4
171,2,3,3,2,3,2
172,4,4,4,4,4,4
173,3,2,3,3,3,2
174,2,2,2,2,3,2
175,3,3,3,2,3,4
176,4,3,4,3,4,4
177,1,1,2,2,2,2
178,2,1,3,2,2,3
179,3,2,3,3,3,4
180,3,2,3,3,3,4
181,4,3,4,3,4,4
182,4,4,3,3,4,4
183,3,2,3,2,4,4
184,4,3,3,3,3,4
185,2,2,2,3,3,3
186,3,3,3,3,4,2
187,4,4,3,3,4,3
188,2,3,3,3,3,3
189,2,3,3,3,3,2
190,3,3,3,3,3,3
191,4,3,3,2,3,3
192,4,4,4,3,4,4
193,4,4,4,3,4,4
194,4,4,4,3,4,4
195,3,3,3,3,3,3
196,4,4,4,3,4,4
197,4,3,3,3,4,4
198,3,1,2,2,2,2
199,3,3,3,3,3,4
200,4,4,4,4,4,4
201,3,3,3,4,4,4
202,3,3,3,3,3,4
203,4,3,4,4,4,4
204,4,3,4,2,4,4
205,4,3,4,3,4,3
