,q,p,r,x,y,z
0,2,4,2,3,2,4
1,1,4,2,2,2,4
2,1,2,2,2,2,3
3,2,3,4,2,2,3
4,3,4,4,3,4,4
5,2,4,3,2,3,3
6,1,3,1,2,2,2
7,3,4,4,3,4,4
8,1,3,1,3,3,4
9,1,2,1,1,1,4
10,3,4,3,4,3,4
11,1,4,2,2,3,3
12,2,4,4,2,4,4
13,1,4,3,3,3,4
14,2,4,3,2,3,4
15,1,3,1,2,2,3
16,1,2,1,2,2,3
17,1,3,1,2,3,4
18,2,4,4,3,4,3
19,4,4,4,2,4,4
20,4,4,4,2,4,4
21,1,4,3,2,3,3
22,1,3,2,2,3,4
23,3,3,4,3,4,4
24,2,3,2,3,3,4
25,2,3,2,2,2,4
26,3,4,4,3,4,4
27,4,4,3,2,3,4
28,2,3,2,2,3,4
29,2,3,3,2,3,4
30,2,4,4,3,3,4
31,3,3,4,3,3,4
32,2,4,3,2,3,4
33,3,4,3,2,3,4
34,1,4,1,2,3,3
35,2,2,1,2,2,3
36,2,4,4,3,3,4
37,2,4,4,3,4,3
38,3,4,4,3,4,4
39,3,4,4,3,4,3
40,4,4,4,2,4,2
41,4,4,4,4,4,4
42,4,4,4,3,4,4
43,4,4,4,3,4,4
44,3,4,4,2,4,3
45,2,3,3,2,3,3
46,1,3,2,2,3,3
47,2,3,2,3,3,4
48,3,4,4,3,4,4
49,1,2,1,2,2,2
50,4,4,4,2,4,4
51,1,1,1,1,1,3
52,4,3,3,2,4,3
53,2,2,2,2,2,3
54,3,4,3,3,3,4
55,3,4,4,3,2,4
56,4,4,4,3,4,4
57,4,4,4,3,4,4
58,3,4,4,3,4,4
59,2,2,1,3,1,4
60,2,3,1,3,2,4
61,4,4,4,4,4,4
62,3,4,4,2,4,3
63,4,4,4,4,4,4
64,3,4,4,2,4,3
65,4,4,4,3,4,4
66,3,4,4,3,4,3
67,2,4,4,3,3,4
68,3,3,3,3,4,3
69,3,4,4,3,3,4
70,4,4,4,3,4,4
71,2,3,3,2,3,3
72,2,4,4,3,4,3
73,1,4,2,2,3,4
74,2,2,3,3,2,3
75,4,3,4,2,4,4
76,3,4,4,3,4,4
77,2,3,3,3,3,3
78,3,4,4,3,4,4
79,2,3,4,2,3,3
80,3,4,2,3,3,4
81,1,3,2,3,2,3
82,3,3,3,3,2,4
83,3,3,3,3,3,4
84,2,3,4,3,4,4
85,3,4,4,3,4,4
86,3,4,4,3,4,4
87,4,4,4,3,4,4
88,3,4,4,3,3,4
89,2,4,2,2,2,4
90,2,4,3,3,4,4
91,2,3,3,2,3,4
92,3,4,4,3,4,4
93,3,4,4,3,4,4
94,4,4,4,3,4,4
95,4,4,3,2,3,3
96,4,4,4,4,4,4
97,1,2,2,2,3,4
98,4,4,4,3,4,4
99,3,4,3,3,3,4
100,4,4,4,3,4,4
101,3,3,3,3,3,3
102,2,2,2,3,3,3
103,2,2,2,3,2,3
104,2,4,2,3,3,3
105,2,2,1,2,2,3
106,3,2,4,3,3,3
107,4,4,4,2,4,3
108,2,4,2,2,3,3
109,2,4,4,2,4,3
110,4,4,4,3,4,4
111,2,3,2,3,2,4
112,2,3,3,3,2,4
113,4,3,2,2,3,3
114,4,3,4,3,3,3
115,2,2,2,4,3,3
116,3,3,3,3,4,4
117,2,4,3,2,4,3
118,4,4,4,3,4,4
119,3,4,3,2,4,4
120,3,3,4,3,4,4
121,1,2,1,2,1,3
122,3,4,1,2,4,3
123,2,3,2,2,4,3
124,3,3,4,3,3,4
125,2,2,3,3,3,3
126,1,3,2,2,3,3
127,1,1,1,2,2,3
128,4,4,4,3,4,4
129,2,2,1,2,2,3
130,4,4,4,3,4,4
131,1,2,3,2,2,3
132,4,4,4,3,3,4
133,1,2,1,2,2,2
134,2,2,1,2,3,3
135,3,4,4,2,4,3
