Segment ID,Source Segment,MT Target Segment,Post-edited Target,Translated Target,Segment Length,Post-edit Time(ms),Segment Origin,Edit Effort
1,[HEADLINE] El CIS otorga a Susana Díaz una amplia mayoría en las elecciones andaluzas,CIS는 Susana Díaz에게 안달루시아 선거에서 대다수를 준다.,CIS는 수사나 디아즈에게 안달루시아 선거에서 대다수의 표를 주었다.,,14,354000.0,El País,39
2,[SUB-HEADLINE] La encuesta sitúa a la coalición de Podemos e IU en segundo lugar y anticipa un empate técnico entre PP y Ciudadanos,이 설문 조사는 Podemos와 IU의 연합을 두 번째 장소에두고 PP와 Citizens 사이의 기술적 인 관계를 예상합니다,,이 설문조사는 포데모스와 IU 두 정당의 연합을 둘째로 두고 PP당과 시민들 사이의 기술적인 관계를 기대한다.,23,584720.0,El País,52
3,"La presidenta de la Junta de Andalucía, Susana Díaz, ganaría las próximas elecciones autonómicas con más de 10 puntos de ventaja, pero lejos de la mayoría absoluta (55 escaños de un total de 109), según la encuesta hecha pública este miércoles por el Centro de Investigaciones Sociológicas (CIS). ","유다 데 안달루시아 (Susana Díaz) 의장은 다음 주 지방 선거에서 10 점 이상의 우위를 점할 것으로 예상했지만, 이번 수요일에 센터에 의해 공개 된 설문 조사에 따르면, 절대 다수 (109 개 가운데 55 석) 사회학 연구 (CIS).","안달루시아 자치주의 의장인 수사나 디아즈 (Susana Díaz) 의장은 다음 지방 선거에서 10 점 이상의 차이로 이길 것이라고 예상했지만, 이번 수요일에 사회학 연구센터(CIS)에 의해 공개 된 설문 조사에 따르면, 과반수에 미치지 못했다. (109 개 가운데 55 석)",,47,501140.0,El País,42
4,"La candidata socialista obtendría el 37,41% de los votos y entre 45 y 47 escaños. ",사회당 후보는 37.41 %의 표와 45 ~ 47 표의 표를 얻는다. ,,"이 사회당 후보자는 37,41%의 표를 얻어 45~47개의 의석을 차지할 것이다. ",15,213640.0,El País,45
5,Esta última cifra coincide con el número de diputados que el PSOE tiene en la actualidad. ,이 마지막 숫자는 PSOE가 현재 보유한 대리인의 숫자와 일치합니다. ,이 최종 수치는 PSOE가 현재 보유한 의원의 숫자와 일치합니다. ,,16,118840.0,El País,20
6,"Con estos resultados, y si no hubiera bloqueos, Díaz podría aspirar a desarrollar lo que ella ha denominado ""gobierno de banda ancha"", que le permitiría dirigir la Junta en minoría con apoyos puntuales de distintas fuerzas políticas.","이러한 결과와 함께 장애가없는 경우 Díaz는 그녀가 ""광대역 정부""라고 부른 것을 발전 시켜서 그녀가 다른 정치 세력으로부터 특별한 지원을받는 소수 민족위원회를 이끌 수있게 할 수있었습니다.",,"이 결과로 볼 때 방해가 없었다면, 디아즈는 그녀가 ""광대한 당파의 정부""라고 이름 붙인 것을 발전시키기를 추구할 수 있었을 것이고, 그녀가 다른 정치세력의 특정 지원을 받아 소수지방의회를 이끌어갈 수 있도록 했을 것이다.",37,659900.0,El País,56
7,"La batalla se juega en el terreno del segundo puesto, donde las tres formaciones principales, PP, Adelante Andalucía —la confluencia entre Podemos e IU— y Ciudadanos llegan muy igualadas, según el sondeo. ","이 전투는 2 위의 지형에서 진행되는데 PP, Adelante Andalucía (Podemos와 IU- 시민들의 합류는 매우 평평하다.","이 대결승부는 2 위 전으로 진행되는데 3개의 주요당이 있다. PP, Adelante Andalucía (Podemos 와 IU의 제휴당) 그리고 시민당이며 조사에 따르면 이들은 매우 비슷한 동점 상태이다.",,32,983930.0,El País,49
8,"En cuanto a porcentaje de sufragios, la coalición de izquierdas liderada por Teresa Rodríguez se situaría en segunda posición, con un 19,34%;",투표율에 대해서는 테레사 로드리게스 (Teresa Rodríguez)가 이끄는 좌파 연합이 19.34 %로 2 위에 올랐다.,,"투표율에 대해서는, 테레사 로드리게즈를 중심으로 한 좌익지도층의 연합이 19,34%로 2위를 차지할 것이다.",22,183500.0,El País,52
9,"pero mantendría 20 escaños, la cifra que actualmente suman los diputados de ambas formaciones en el Parlamento (15 Podemos y 5 IU).",그러나 의회의 두 대의 대의원이 현재 추가로 (15 개의 Podemos와 5 개의 IU) 추가하는 20 석을 유지할 것입니다.,그러나 실제로 의회의 양쪽 당의 의원들이 추가하는 수치인 20 석을 유지할 것입니다. (Podemos 15석과 IU 5석),,22,384310.0,El País,74
10,"Quienes mantienen un empate técnico son PP y Ciudadanos, los primeros con un 18,66% de voto y el segundo con un 18,55%, que se traduce en idéntico número de representantes en el Parlamento andaluz: una horquilla que va de los 20 a los 22.","기술적 인 관계를 유지하는 사람들은 PP와 시민이며, 18.66 %의 투표권을 가진 첫 번째 사람과 18.55 %의 사람인 두 번째 사람은 안달루시아 의회 의원과 같은 수의 사람으로 번역됩니다. 머리말은 20 22시에",,"기술적인 동점을 유지하는 당은 PP와 시민당이다. 가장 우위는 18,66%의 득표율을, 2위는 18,55%의 득표율을 가졌고, 안달루스 의회의 의원들의 확정적인 숫자로 해석된다. 이는 20에서 22로 가는 중간수치이다.",44,1025070.0,El País,65
