Segment ID,Source Segment,MT Target Segment,Post-edited Target,Translated Target,Segment Length,Post-edit Time(ms),Segment Origin,Edit Effort
1,[HEADLINE] El CIS otorga a Susana Díaz una amplia mayoría en las elecciones andaluzas,CIS는 Susana Díaz에게 안달루시아 선거에서 대다수를 준다.,CIS는 Susana Díaz에게 안달루시아 선거 권한의 대다수를 부여하였다. ,,14,145880.0,El País,20
2,[SUB-HEADLINE] La encuesta sitúa a la coalición de Podemos e IU en segundo lugar y anticipa un empate técnico entre PP y Ciudadanos,이 설문 조사는 Podemos와 IU의 연합을 두 번째 장소에두고 PP와 Citizens 사이의 기술적 인 관계를 예상합니다,,"이 여론조사는 Podemos 당과 IU 당의 연합당이 두 번째로 큰 정당으로 위치 시키고, PP 당과 Ciudadanos 당 사이의 기술적인 유대 관계를 예견한다. ",23,664170.0,El País,46
3,"La presidenta de la Junta de Andalucía, Susana Díaz, ganaría las próximas elecciones autonómicas con más de 10 puntos de ventaja, pero lejos de la mayoría absoluta (55 escaños de un total de 109), según la encuesta hecha pública este miércoles por el Centro de Investigaciones Sociológicas (CIS). ","유다 데 안달루시아 (Susana Díaz) 의장은 다음 주 지방 선거에서 10 점 이상의 우위를 점할 것으로 예상했지만, 이번 수요일에 센터에 의해 공개 된 설문 조사에 따르면, 절대 다수 (109 개 가운데 55 석) 사회학 연구 (CIS).","이번 수요일 사회학연구소(CIS)에서 공개한 설문 조사에 따르면, 안달루시아 지방 의회의 의장인 Susana Díaz는 다음 지방선거에서 10점 이상의 우위를 점할 것으로 예상했지만, 절대 다수(총 109석 가운데 55 석)에 해당되지 않았다. ",,47,417440.0,El País,75
4,"La candidata socialista obtendría el 37,41% de los votos y entre 45 y 47 escaños. ",사회당 후보는 37.41 %의 표와 45 ~ 47 표의 표를 얻는다. ,,이 사회당 후보는 37.41%의 표를 받아서 45석과 47석 사이를 차지할 것이다. ,15,155380.0,El País,40
5,Esta última cifra coincide con el número de diputados que el PSOE tiene en la actualidad. ,이 마지막 숫자는 PSOE가 현재 보유한 대리인의 숫자와 일치합니다. ,이 수치는 PSOE가 현재 보유하고 있는 의원의 숫자와 일치한다. ,,16,45190.0,El País,38
6,"Con estos resultados, y si no hubiera bloqueos, Díaz podría aspirar a desarrollar lo que ella ha denominado ""gobierno de banda ancha"", que le permitiría dirigir la Junta en minoría con apoyos puntuales de distintas fuerzas políticas.","이러한 결과와 함께 장애가없는 경우 Díaz는 그녀가 ""광대역 정부""라고 부른 것을 발전 시켜서 그녀가 다른 정치 세력으로부터 특별한 지원을받는 소수 민족위원회를 이끌 수있게 할 수있었습니다.",,"이러한 결과와 함께, 이변이 없는 한, Díaz는 본인이 선언한 '광대역 정부'를 발전시킬 수 있을 것이다. 이 광대역 정부는 다른 정당들의 면밀한 지원을 통해 안달루시아 지방 의회를 소수 집단으로 운영할 수 있다. ",37,755480.0,El País,59
7,"La batalla se juega en el terreno del segundo puesto, donde las tres formaciones principales, PP, Adelante Andalucía —la confluencia entre Podemos e IU— y Ciudadanos llegan muy igualadas, según el sondeo. ","이 전투는 2 위의 지형에서 진행되는데 PP, Adelante Andalucía (Podemos와 IU- 시민들의 합류는 매우 평평하다.","이번 정치적 대치는 두 번째로 중요한 정치적 지형에서 일어났는데, 조사에 따르면, 이는 주요 세 정당들이(PP, Podemos와 IU 연합당인 Adelante Andalucía, Ciudadanos) 매우 동등한 위치에 있는 곳이다. ",,32,887570.0,El País,66
8,"En cuanto a porcentaje de sufragios, la coalición de izquierdas liderada por Teresa Rodríguez se situaría en segunda posición, con un 19,34%;",투표율에 대해서는 테레사 로드리게스 (Teresa Rodríguez)가 이끄는 좌파 연합이 19.34 %로 2 위에 올랐다.,,"다른 투표율의 경우, Teresa Rodríguez 가 이끄는 여당 연합은 19.34%로 2위에 올랐다. ",22,172070.0,El País,36
9,"pero mantendría 20 escaños, la cifra que actualmente suman los diputados de ambas formaciones en el Parlamento (15 Podemos y 5 IU).",그러나 의회의 두 대의 대의원이 현재 추가로 (15 개의 Podemos와 5 개의 IU) 추가하는 20 석을 유지할 것입니다.,"그러나 현 의회의 두 정당의 의원들을(Podemos 15석, IU 5석) 추가하면 20 석을 유지할 것입니다.",,22,194240.0,El País,41
10,"Quienes mantienen un empate técnico son PP y Ciudadanos, los primeros con un 18,66% de voto y el segundo con un 18,55%, que se traduce en idéntico número de representantes en el Parlamento andaluz: una horquilla que va de los 20 a los 22.","기술적 인 관계를 유지하는 사람들은 PP와 시민이며, 18.66 %의 투표권을 가진 첫 번째 사람과 18.55 %의 사람인 두 번째 사람은 안달루시아 의회 의원과 같은 수의 사람으로 번역됩니다. 머리말은 20 22시에",,"전략적인 유대 관계를 유지하는 PP와 Ciudadanos 중, PP는 18.66%, Ciudadanos는 18.55%를 차지하였다. 이는 안달루시아 의회의 대표자들과 동일한 수치로서, 기존 20석에서 22석이 된다. ",44,491480.0,El País,72
11,"La principal novedad es la irrupción de VOX, que con un 3,17% de los votos, obtendría por primera vez representación en España, con un escaño en el Parlamento andaluz por la provincia de Almería. ",가장 주목할만한 사실은 투표의 3.17 %로 알 메리아 지방에 대한 안달루시아 의회 (Andalusian Parliament) 의석을 보유한 스페인 최초의 대표권을 얻게 될 복스 (VOX)의 침범이다.,"가장 주목할만한 사실은 3.17 %를 받은 VOX의 등장이다. 안달루시아 의회(Andalusian Parliament)에서 알메리아 지방을 대변하는 의석 하나를 보유하여, 스페인에서 최초로 대표권을 얻게 되었다. ",,34,246500.0,El País,50
12,"En los anteriores comicios autonómicos, el partido de extrema derecha quedó en novena posición, por detrás de UPyD, que vuelve a presentarse en estas elecciones en todas las provincias, el ahora disuelto Partido Andalucista y PACMA, que también tiene candidaturas en todas las circunscripciones.","이전의 지방 선거에서 맨 오른쪽 파티는 UPyD 뒤에서 9 번째 위치에 있었고, 모든 주에서 선거로 돌아 왔고, 지금은 해체 된 Andalusian Party와 PACMA도 모든 선거구에서 후보가되었습니다.",,"이전 지방 선거에서 극우당은 UPyD, Partido Andalucista, PACMA 의 뒤를 이어 9위에 머물렀다. UPyD는 모든 주에서 이번 선거에 다시 출마하고, 현재 해산된 Partido Andalucista와 PACMA 또한 모든 지역에서 후보를 가지고 있다. ",44,596770.0,El País,62
13,"La encuesta del CIS no ha despejado las dudas sobre quién ostentará el cetro de la derecha en Andalucía, si Ciudadanos o PP. ",CIS에 대한 조사는 시민이나 PP 여부에 관계없이 안달루시아에서 누가 권리를 보유 할 것인가에 대한 의구심을 해소하지 못했다. ,CIS의 조사는 Ciudadanos와 PP 중 누가 안달루시아에서 누가 야당의 권력을 가지게 될 지에 대한 의문을 해소하지 못하였다. ,,23,213400.0,El País,50
14,"Si bien Ciudadanos no acaba de dar su anhelado sorpasso, los datos del sondeo evidencian un avance muy significativo en relación con los resultados de las autonómicas de 2015, donde obtuvieron nueve escaños. ",시민들이 열광한 sorpasso를 제공하는 것만은 아니지만 설문 조사 데이터는 2015 년 자치 결과 9 개를 차지한 결과와 관련하여 매우 중요한 진전을 보였습니다. ,,"비록 Ciudadanos 가 갈망하던 진전을 성취하지 못하였으나, 이번 조사 결과는 2015년 지방선거에서 9석에 그친 것에 비하여 매우 중요한 진척을 이룬 것을 입증하였다. ",33,658300.0,El País,67
15,"El partido de Albert Rivera obtendría representación en todas las provincias, con un avance muy significativo en Cádiz, donde pasaría de 1 a 3 o 4. ",앨버트 리베라 (Albert Rivera)의 당은 카디스에서 매우 중요한 진보와 함께 모든 지역에서 대표권을 얻었으며 카디스는 1에서 3 또는 4로 넘어갔습니다.,앨버트 리베라(Albert Rivera)의 당은 1석에서 3 또는 4석을 보유하면서 카디스에서 매우 중요한 진보와 함께 모든 지역에서 대표권을 얻었다. ,,26,75750.0,El País,52
16,"La lectura para el PP no es tan positiva ya que, de confirmarse la proyección del estudio preelectoral, el 2 de diciembre supondría una bajada de entre 13 y 11 diputados, un desplome del que se benefician Ciudadanos y Vox. ",예비 선거 연구 계획이 확정되면 12 월 2 일에 시민과 복스에게 혜택을주는 붕괴가 13 명에서 11 명으로 감소 할 것이기 때문에 PP에 대한 독서가 그렇게 긍정적이지는 않습니다.,,PP에 대한 해석은 그다지 긍정적이지 않다. 사전 선거 연구가 확정되면 12월 2일 Ciudadanos와 Vox로 인하여 13 의원에서 11 의원으로 감소할 것이기 때문이다.  ,40,275640.0,El País,81
17,Los populares pierden escaños en las ocho circunscripciones.,인기는 8 개 지구의 좌석을 잃어 버린다.,공화당원들은 선거구 8개에서 의석을 잃게 된다.,,8,91260.0,El País,65
18,"La coalición de Adelante Andalucía se coloca como segunda fuerza política en porcentaje de voto, pero, sin llegar repetir la mala experiencia de la confluencia entre Podemos e IU a nivel nacional, en Andalucía ambas formaciones juntas no suman más que por separado y, de acuerdo con el CIS, mantendrían los 20 escaños que ya tienen en la actualidad, por lo que no sacarían rédito por el flanco de la izquierda del desgaste del PSOE.","Adelante Andalucía 연합은 투표의 비율로 두 번째 정치 세력으로 배치되지만 안달루시아에서 Podemos와 IU 간의 합류에 대한 나쁜 경험을 되풀이하지 않고 두 가지 형성은 함께 개별적으로 추가하지 않으며 CIS와 함께, 그들은 이미 가지고있는 20 석을 유지할 것이므로 PSOE 착용의 왼쪽 측면에 대해 돈을받지 않을 것입니다.",,"투표율에 따르면, Adelante Andalucía 연합당은 두 번째로 강력한 정치 세력으로 자리 잡았다. 그러나 중앙정부 차원에서 Podemos와 IU의 합류로 인한 나쁜 경험을 되풀이하지 않고, 안달루시아 지방 의회에서 의석을 개별적으로 추가하지 않은 채 20 석을 유지할 것이라는 것이 CIS의 조사 결과이다. PSOE의 소멸된 좌파 측에서 이익을 받지 않을 것이기 때문이다. ",75,844010.0,El País,50
19,"Ni la última legislatura ni los casi 40 años de Gobiernos socialistas continuados parecen haber horadado las expectativas electorales del PSOE de cara a la cita electoral del 2 de diciembre, justo lo contrario que le ocurre al PP. ",마지막 입법부와 거의 40 년 동안 지속 된 사회주의 정부 모두 12 월 2 일 선거를 앞두고 PS에 대한 선거 기대를 뚫지 못했다. ,"12월 2일 선거를 앞두고, 마지막 입법기와 거의 40 년 동안 지속 된 사회주의 정부 모두 PSOE의 선거에 대한 기대를 충족시키지 못한 것으로 보인다. 그 기대는 PP가 거둔 결과와 정반대의 것이었다. ",,39,494430.0,El País,55
