Segment ID,Source Segment,MT Target Segment,Post-edited Target,Translated Target,Segment Length,Post-edit Time(ms),Segment Origin,Edit Effort
1,Buenas noches.,안녕하세요.,안녕하세요.,,2,2350.0,Cinco Continentes_Ebola,0
2,"Comienza a Cinco Continentes, programa de información internacional de radio nacional de España, en las sintonías de radio cinco y radio exterior. ",스페인의 국제 라디오 프로그램 인 Cinco Continentes를 라디오 5와 외부 라디오에서 시작합니다.,,"라디오 5, 외부 라디오에서 진행하는 국제 정보를 다루는 국영 라디오, 씬꼬 꼰띠넨떼스 시작 합니다.",22,200580.0,Cinco Continentes_Ebola,71
3,Un espacio en el que tratamos de acercarles la actualidad y el análisis de los acontecimientos más importantes fuera de nuestras fronteras que elaboramos cada día desde el área internacional de la radio pública española. ,스페인 공영 라디오의 국제 분야에서 매일 우리가 만드는 국경 밖의 가장 중요한 사건에 대한 뉴스와 분석을 제공하기위한 공간.,스페인 공영 라디오의 국제 분야에서 매일 우리가 만드는 국경 밖의 가장 중요한 사건에 대한 뉴스와 분석을 제공하기위한 공간.,,35,19970.0,Cinco Continentes_Ebola,0
4,Les habla Miguel Molleda.,Miguel Molleda가 너에게 말한다.,,미겔 모예다입니다.,4,15210.0,Cinco Continentes_Ebola,87
5,En nuestro espacio de hoy estaremos en Monrovia para comprobar con Médicos sin Fronteras si la epidemia de ébola está aflojando en uno de los países más afectados por la enfermedad.,에볼라 전염병은 대부분의 질병에 의해 영향을받는 국가에 급증하는 경우 우리는 몬로 비아에있는 우리의 공간에서 오늘은 국경없는 의사 회와 함께 확인합니다.,오늘은 몬로비아에서 국경없는 의사회와 함께 에볼라 전염병으로 가장 많이 타격을 입은 나라가 호전이 되고 있는지 확인 하고자 합니다.,,31,213210.0,Cinco Continentes_Ebola,78
6,Hemos escuchado también hoy al jefe de la misión de Naciones Unidas contra el ébola en África Tony Banbury afirmar que la crisis continúa y que hacen falta muchos más recursos para combatirla.,"우리는 또한 아프리카에서 에볼라에 반대하는 유엔의 사역 책임자 인 토니 반 버리 (Tony Banbury)가 위기가 계속되고 있으며, 더 많은 자원이이를 극복하기 위해 필요하다고 단언했다.",,"오늘 또한, 아프리카의 UN Chief of Mission against ebola인, Tony Banburry가 문제는 아직 호전되지 않았으며 퇴치하기 위해 많은 자원이 아직 부족하다고 들었습니다.",33,146180.0,Cinco Continentes_Ebola,66
7,Tendremos más informaciones también y asuntos en nuestro programa de hoy que les anticipa ya Ana Zurita.,아나 준 리타 (Ana Zurita)가 예상하는 더 많은 정보와 문제가 오늘 우리 프로그램에있을 것입니다.,아나 준 리타 (Ana Zurita)가 미리 알려주는 더 많은 정보와 안건이 준비되어있습니다.,,17,95800.0,Cinco Continentes_Ebola,40
8,"Continúa la tensión en Jerusalén tras los últimos ataques y disturbios que han costado la vida a una persona, ",예루살렘에서 마지막 공격과 폭동으로 인명을 잃은 후에도 긴장이 계속되고 있습니다.,,예루살렘에 최근 공격과 소요가 부른 인명 피해로 인한 텐션은 아직까지 계속되고있습니다.,19,133940.0,Cinco Continentes_Ebola,50
9,"Mañana estará en la región la nueva responsable europea de Asuntos Exteriores, la italiana Federica Mogherini.",내일이 지역의 새로운 외무부 (Federal Foreign Affairs) 책임자 인 이탈리아 Fedetera Mogherini가 될 것입니다.,내일 유럽 지역의 새로운 외무부 (Federal Foreign Affairs) 책임자 인 이탈리아인 Fedetera Mogherini가 될 것입니다.,,16,56790.0,Cinco Continentes_Ebola,4
10,Satisfacción en el gobierno israelí por la renuncia de la corte penal internacional a investigar la muerte de nueve activistas turcos en dos mil diez tras el asalto militar del ejército de Israel a una embarcación de activistas propalestinos que se dirigían a Gaza.,국제 형사 재판소의 사임에 대한 만족도 이스라엘 정부는 이스라엘 군에 의한 군사 공격 가자 지구로 향하고 친 팔레스타인 운동가의 선박 후 2010년에서 구 터키어 운동가의 죽음을 조사합니다.,,"2010년 가자로 향하던 친 팔레스타인 운동가들을 이스라엘 군사가 타격함으로 9명의 터키 운동가들의 인명 피해를 초래한 건에 대한 조사 결과, 국제 형사 재판소의 선언에 대해 만족을 표현했습니다.",44,307300.0,Cinco Continentes_Ebola,78
