Segment ID,Source Segment,MT Target Segment,Post-edited Target,Translated Target,Segment Length,Post-edit Time(ms),Segment Origin,Edit Effort
1,Buenas noches.,안녕하세요.,안녕하세요.,,2,2950.0,Cinco Continentes_Ebola,0
2,"Comienza a Cinco Continentes, programa de información internacional de radio nacional de España, en las sintonías de radio cinco y radio exterior. ",스페인의 국제 라디오 프로그램 인 Cinco Continentes를 라디오 5와 외부 라디오에서 시작합니다.,,씽꼬 꼰띠넨떼스를 시작합니다. 라디오 5와 라디오 엑스떼리오르가 동시에 진행하는 스페인 국영 라디오 정보 프로그램입니다.,22,65710.0,Cinco Continentes_Ebola,80
3,Un espacio en el que tratamos de acercarles la actualidad y el análisis de los acontecimientos más importantes fuera de nuestras fronteras que elaboramos cada día desde el área internacional de la radio pública española. ,스페인 공영 라디오의 국제 분야에서 매일 우리가 만드는 국경 밖의 가장 중요한 사건에 대한 뉴스와 분석을 제공하기위한 공간.,저희는 국경 밖의 가장 중요한 사건에 대한 상황과 사건 분석을 여러분에게 제공하기위한 공간으로 스페인 공영 라디오의 국제 프로그램에서 매일 방송합니다.,,35,240090.0,Cinco Continentes_Ebola,79
4,Les habla Miguel Molleda.,Miguel Molleda가 너에게 말한다.,,저는 미겔 모예다입니다.,4,7090.0,Cinco Continentes_Ebola,83
5,En nuestro espacio de hoy estaremos en Monrovia para comprobar con Médicos sin Fronteras si la epidemia de ébola está aflojando en uno de los países más afectados por la enfermedad.,에볼라 전염병은 대부분의 질병에 의해 영향을받는 국가에 급증하는 경우 우리는 몬로 비아에있는 우리의 공간에서 오늘은 국경없는 의사 회와 함께 확인합니다.,저희 공간에서 오늘은 대부분의 질병에 의해 영향을받는 국가에 에볼라 전염병이 급증하는지 우리는 몬로 비아에있는 국경없는 의사 회와 함께 확인합니다.,,31,107760.0,Cinco Continentes_Ebola,41
6,Hemos escuchado también hoy al jefe de la misión de Naciones Unidas contra el ébola en África Tony Banbury afirmar que la crisis continúa y que hacen falta muchos más recursos para combatirla.,"우리는 또한 아프리카에서 에볼라에 반대하는 유엔의 사역 책임자 인 토니 반 버리 (Tony Banbury)가 위기가 계속되고 있으며, 더 많은 자원이이를 극복하기 위해 필요하다고 단언했다.",,오늘 저희는 위기는 계속되고 있고 위기에 대처하기 위한 자원이 현저히 부족하다는 UN 아프리카지부 에볼라 담당 대표 토니 반버리의 말을 들었습니다.,33,90710.0,Cinco Continentes_Ebola,82
7,Tendremos más informaciones también y asuntos en nuestro programa de hoy que les anticipa ya Ana Zurita.,아나 준 리타 (Ana Zurita)가 예상하는 더 많은 정보와 문제가 오늘 우리 프로그램에있을 것입니다.,아나 주리타 (Ana Zurita)가 준비한 더 많은 정보와 문제가 오늘 우리 프로그램에있을 것입니다.,,17,39320.0,Cinco Continentes_Ebola,10
8,"Continúa la tensión en Jerusalén tras los últimos ataques y disturbios que han costado la vida a una persona, ",예루살렘에서 마지막 공격과 폭동으로 인명을 잃은 후에도 긴장이 계속되고 있습니다.,,인명 피해를 낳은 최근 폭동과 소요사태 이후에도 예루살렘에 긴장이 계속되고 있다. ,19,39620.0,Cinco Continentes_Ebola,63
9,"Mañana estará en la región la nueva responsable europea de Asuntos Exteriores, la italiana Federica Mogherini.",내일이 지역의 새로운 외무부 (Federal Foreign Affairs) 책임자 인 이탈리아 Fedetera Mogherini가 될 것입니다.,내일 이 지역에 새로운 EU 외무부 책임자 인 이탈리아의 페데리카 모게리니(Federica Mogherini)가 방문할 것입니다.,,16,106650.0,Cinco Continentes_Ebola,55
10,Satisfacción en el gobierno israelí por la renuncia de la corte penal internacional a investigar la muerte de nueve activistas turcos en dos mil diez tras el asalto militar del ejército de Israel a una embarcación de activistas propalestinos que se dirigían a Gaza.,국제 형사 재판소의 사임에 대한 만족도 이스라엘 정부는 이스라엘 군에 의한 군사 공격 가자 지구로 향하고 친 팔레스타인 운동가의 선박 후 2010년에서 구 터키어 운동가의 죽음을 조사합니다.,,2010년 이스라엘 군대가 가자지구로 향하던 친팔레스타인 활동가들의 선박을 공격하여 9명의 터키 활동가들이 사망한 사건을 조사하지 않겠다는 국제사법재판부의 발표에 이스라엘 정부는 만족감을 표했다.,44,203000.0,Cinco Continentes_Ebola,83
