Segment ID,Source Segment,Segment Origin,Comments,Google Translate,Google Translate rating,Kakao i,Kakao i rating,Human,Human rating
1,"Buenas noches, comienza a Cinco Continentes, programa de información internacional de radio nacional de España, en las sintonías de radio cinco y radio exterior, un espacio en el que tratamos de acercarles la actualidad y el análisis de los acontecimientos más importantes fuera de nuestras fronteras que elaboramos cada día desde el área internacional de la radio pública española, les habla Miguel Molleda.(0059)",Cinco Continentes_Ebola,,안녕하세요. 스페인의 국제 라디오 프로그램 인 Cinco Continentes에서 라디오 5 개 튜닝 및 라디오 외에도 우리가 국경 밖에서 가장 중요한 사건에 대한 뉴스와 분석을 제공하기 위해 노력하고 있습니다. 우리는 스페인 공영 라디오의 국제 분야에서 매일 정성을 다하고 있습니다. Miguel Molleda는 당신에게 이야기합니다.,2,스페인의 국제 라디오 정보 프로그램인 Cinco Continentes는 라디오 5와 외부 라디오 튜닝에서 시작됩니다.이 공간은 Miguel Molleda가 매일 개발한 국경 밖에서 가장 중요한 사건에 대한 현재와 분석을 더 가깝게 만들려고합니다. ,3,안녕하십니까. 씽꼬 꼰띠넨떼스를 시작하겠습니다. 스페인 국영방송의 국제뉴스를 전하는 프로그램입니다. 제5라디오와 라디오 엑스테리오르의 합작 프로그램으로 매일 여러분께 해외의 주요 사건들의 최근 소식과 분석을 전해드립니다. 저는 스페인 국영라디오의 국제 뉴스를 전하는 프로그램의 미겔 모예다입니다.,1
2,En nuestro espacio de hoy estaremos en Monrovia para comprobar con Médicos sin Fronteras si la epidemia de ébola está aflojando en uno de los países más afectados por la enfermedad.(0115),Cinco Continentes_Ebola,,에볼라 전염병은 대부분의 질병에 의해 영향을받는 국가에 급증하는 경우 우리는 몬로 비아에있는 우리의 공간에서 오늘은 국경없는 의사 회와 함께 확인합니다.,3,"오늘 우리 공간에서 우리는 몬로비아에 있을 것이고, 에볼라 전염병이 이 질병에 가장 영향을받는 국가 중 하나에서 느슨해지는지 여부를 국경없는 의사들에게 확인할 것입니다. ",2,오늘 저희는 에볼라 바이러스의 큰 타격을 받은 여러 나라들 중 한 나라에서 국경없는의사회의 도움으로 에볼라가 누그러들고 있는지 알아보기 위해 몬로비아로 가보겠습니다.,1
3,Hemos escuchado también hoy al jefe de la misión de Naciones Unidas contra el ébola en África Tony Banbury afirmar que la crisis continúa y que hacen falta muchos más recursos para combatirla.(0134),Cinco Continentes_Ebola,,"우리는 또한 아프리카에서 에볼라에 반대하는 유엔의 사역 책임자 인 토니 반 버리 (Tony Banbury)가 위기가 계속되고 있으며, 더 많은 자원이이를 극복하기 위해 필요하다고 단언했다.",2,"우리는 또한 오늘 아프리카 에볼라에 대한 유엔 선교부의 책임자인 토니 밴버리가 위기가 계속되고 있으며, 그에 대처하기 위해 더 많은 자원이 필요하다고 말하는 것을 들었습니다. ",1,또한 오늘 위기가 계속되고 있고 에볼라와 싸우기 위해 더 많은 물자가 필요하다는 UN 에볼라 긴급대응팀의 토니 반버리 국장의 말을 들었습니다. ,1
4,Tendremos más informaciones también y asuntos en nuestro programa de hoy que les anticipa ya Ana Zurita.(0141),Cinco Continentes_Ebola,,아나 준 리타 (Ana Zurita)가 예상하는 더 많은 정보와 문제가 오늘 우리 프로그램에있을 것입니다.,3,우리는 또한 오늘의 프로그램에서 더 많은 정보와 문제를 가지고 있습니다. ,3,또한 오늘 저희 프로그램에서는 여러분이 기대하시는 것보다 더 많은 소식을 전해드리겠습니다. 아나 쑤리따 기자입니다.,1
5,"Continúa la tensión en Jerusalén tras los últimos ataques y disturbios que han costado la vida a una persona, mañana estará en la región la nueva responsable europea de Asuntos Exteriores, la italiana Federica Mogherini.(0153)",Cinco Continentes_Ebola,,마지막 공격과 폭동으로 인명을 앗아간 후 예루살렘에서 긴장이 계속되고 내일에는 유럽의 새로운 외교 문제관 인 이탈리아 Federica Mogherini가 될 것입니다.,3,"예루살렘에서의 긴장은 최근한 사람의 생명을 앗아간 공격과 폭동으로 계속되며, 내일이 새로운 유럽 외교 책임자인 이탈리아 페데리카 모게리니가이 지역에 있을 것입니다. ",2,최근에 있었던 일련의 공격들과 한 명의 사망자를 낳은 소요사태 이후 예루살렘에 긴장이 계속되고 있습니다. 내일 유럽 외무부의 새로운 담당자인 이탈리아인 페데리카 모데리니가 이 지역을 방문할 것입니다.,1
6,Satisfacción en el gobierno israelí por la renuncia de la corte penal internacional a investigar la muerte de nueve activistas turcos en dos mil diez tras el asalto militar del ejército de Israel a una embarcación de activistas propalestinos que se dirigían a Gaza.(0207),Cinco Continentes_Ebola,,국제 형사 재판소의 사임에 대한 만족도 이스라엘 정부는 이스라엘 군에 의한 군사 공격 가자 지구로 향하고 친 팔레스타인 운동가의 선박 후 2010년에서 구 터키어 운동가의 죽음을 조사합니다.,3,이스라엘 정부가 가자 지구로 향하는 친 팔레스타인 활동가들의 선박에 대한 이스라엘 군대의 군사 공격에 이어 2 천 10 백명의 터키 활동가 9 명을 조사하기 위해 국제 형사 재판소를 사임한 것에 대한 만족. ,2,이스라엘 정부는 이스라엘 정부군이 가자지구로 향하던 친팔레스타인 활동가들의 배를 공격하여 2010년 사망한 9명의 터키 활동가 사건을 조사하라는 국제형사재판소의 선언에 만족을 표했습니다.,1
7,"La Unión Europea investiga si los acuerdos fiscales presidenciales de Luxemburgo con más ende tres cientas grandes empresas son legales, desde un rincón del mundo hablaremos con Sara Bordar, representante de UNICEF en Madagascar y nuestra información por continentes dedicada hoy a Asia se cumple un año del huracán Hayán que arrasó Filipinas,",Cinco Continentes_Ebola,,아시아는 일년 표시에 유럽 연합 (EU)은 대통령 조세 조약 룩셈부르크가 더 따라서 삼백 회사가 ,3,"유럽 연합은 룩셈부르크의 대통령 세무 협정이 3 개의 대기업과 합법적인지 여부를 조사합니다. 세계 구석에서 마다가스카르의 유니세프 대표인 사라 보르 다르와 이야기할 것이며, 아시아에 전념한 대륙에 대한 우리의 정보는 필리핀을 휩쓸었던 허리케인 하얀의 1년 동안,",2,EU는 룩셈부르크 정부가 300개 이상의 회사와 맺은 ¿?조약이 합법한지를 조사했습니다. 스페인에 있는 저희가 마다가스카르 유니세프 대표 Sara Bordar 씨와 대화를 나눠보겠습니다. 오늘 저희 프로그램의 소식은 아시아에 많이 할애할 것입니다. 필리핀을 휩쓴 하이옌이 1주년을 맞았습니다.,1
8,Estaremos ahí en las islas filipinas y analizaremos las consecuencias que tuvo este desastre natural.(0232),Cinco Continentes_Ebola,,우리는 필리핀 섬에있을 것이며 우리는이 자연 재해의 결과를 분석 할 것입니다.,2,우리는 필리핀 섬에 가서 이 자연재해의 결과를 분석할 것입니다.,1,이 자연재해가 어떤 영향을 끼쳤는지 분석하기 위해 필리핀에 가보겠습니다.,1
9,"Comenzamos, en los últimos días han surgido informaciones sobre una supuesta reducción de la epidemia del ébola en los países, en más castigados por la crisis Guinea, Sierra Leona y Liberia.(0257)",Cinco Continentes_Ebola,,"우리는 지난 며칠 동안 기니, 시에라 리온, 라이베리아 위기의 영향을 가장 많이받은 나라에서 에볼라 전염병이 줄어들 것으로 추정되는 정보를 얻었습니다.",1,"우리는 최근 기니, 시에라리온, 라이베리아 위기로 인해 더 많은 처벌을 받고 있는 국가의 에볼라 전염병 감소에 대한보고를 시작했습니다.",3,"시작하겠습니다. 최근 에볼라로 가장 피해가 컸던 기니, 시에라레온, 라이베리아에 에볼라가 감소하고 있다는 소식을 입수했습니다.",2
10,"En concreto según fuentes de la Organización Mundial de la Salud sobre la incidencia semanal de la enfermedad en África Occidental señalaban que el ébola había disminuído en Liberia, se mantenía estable en Guinea, y los casos de contagiados por la epidemia habían aumentado en Sierra Leona.(0316)",Cinco Continentes_Ebola,,"특히 그들은 에볼라 라이베리아에 감소했다고 지적 서부 아프리카에서 질병의 주 발생에 세계 보건기구 (WHO)에서 소식통에 따르면, 기니에서 안정적으로 유지하고, 전염병에 감염의 경우는 시에라 리온 증가했다.",3,특히 서 아프리카의 매주 질병 발생률에 관한 세계 보건기구 소식통에 따르면 라이베리아에서 에볼라가 감소하고 기니에서 안정적이었으며 시에라 리온에서 전염병으로 인한 사례가 증가했다고합니다.,2,정확하게 서아프리카에서 일주일간 질병이 진행되고 있는 상황에 대한 세계보건기구(WHO)의 정보에 따르면 에볼라가 라이베리아에서 감소했고 기니에서는 변화가 없으며 시에라레온에서는 감염 사례가 늘었습니다.,1
11,Hoy en declaraciones a la radio televisión en pública británica BBC el máximo responsable de la misión de Naciones Unidas contra el ébola en África Tony Banbury se refería precisamente a esto.(0327),Cinco Continentes_Ebola,,오늘은 아프리카 토니 밴버리에서 에볼라에 대한 유엔 임무의 머리가 여기에 정확하게 언급했다 공영 방송 BBC 라디오 말했다.,3,오늘날 영국 공공 방송의 텔레비전 방송에서 토니 밴버리는 아프리카에서 에볼라에 대한 유엔 임무에 대한 최고 책임자가 정확하게이를 언급했다. (0327),2,오늘 영국 라디오TV BBC의 발표에서 UN 아프리카 에볼라 최고책임자 토니 반버리 대표가 이를 정확히 언급했습니다.,1
12,"<Se trata de un panorama mixto, en algunas zonas está bajando el número de casos como por ejemplo en Monrovia, en otros sin embargo comprobamos una aceleración significativa de la enfermedad.>(0340)",Cinco Continentes_Ebola,,"그것은 혼합 된 그림이며, 일부 지역에서는 몬로 비아 (Monrovia)와 같은 경우가 줄어들고 있지만, 우리는이 질병의 유의 한 촉진을 보았습니다.",3,몬로비아와 같은 일부 지역에서는 사례 수가 감소하고 있지만 다른 지역에서는 질병이 크게 가속화되고 있습니다.,2,"두 상황이 공존합니다. 어떤 지역, 예를 들면 몬로비아 같은 곳에서는 감염 사례가 줄고 있지만 다른 지역에서는 질병이 크게 늘고 있습니다.",1
13,Pero el representante de la ONU insiste ya en que esta enfermedad es aún una crisis y que todavía no se tienen los recursos necesarios para hacerle frente.(0349),Cinco Continentes_Ebola,,그러나 유엔 대변인은이 질병은 여전히 ,3,그러나 유엔 대표는 이미이 질병이 여전히 위기이며이를 해결할 자원이 아직 없다고 주장한다.,2,그러나 반버리 UN대표는 에볼라가 여전히 위험한 상태이고 이를 대처할 물자가 충분하지 않다고 밝혔습니다.,1
14,"<Esta enfermedad es todavía una auténtica crisis en algunas zonas sin duda, hay gentes y pueblos que no están recibiendo ninguna ayuda ahora mismo, sobre el terreno la comunidad internacional y el mundo no tiene capacidad para acabar con esta enfermedad.>(0405)",Cinco Continentes_Ebola,,"이 질병은 의심의 여지없이 일부 지역에서 여전히 여전히 심각한 위기이며, 지금 당장 도움을받지 못하는 사람들과 사람들이 있습니다. 국제 사회와 세계는이 질병을 끝내지 못합니다.",2,"이 질병은 여전히 일부 지역에서는 진정한 위기이며, 현재 도움을받지 못하는 사람들과 사람들이 있으며, 국제 사회와 세계는 이 질병을 종식시킬 능력이 없습니다. """,2,에볼라가 어느 지역에서는 여전히 실질적 위험이라는 데 의심의 여지가 없습니다. 현재 아무 도움도 받지 못하고 있는 사람들이 있습니다. 국제 사회와 전세계가 이 질병을 종식시킬 능력이 없습니다.,1
