Segment ID,Source Segment,MT Target Segment,Segment Origin,Comment,Number of Words (Source Segment),Number of Words (Target Segment),Fluency,Fluency Score,Adequacy,Adequacy Score
1,Buenas noches.,안녕하세요.,Cinco Continentes_Ebola,,2,1,Flawless,4,Everything,4
2,"Comienza a Cinco Continentes, programa de información internacional de radio nacional de España, en las sintonías de radio cinco y radio exterior. ",스페인의 국제 라디오 프로그램 인 Cinco Continentes를 라디오 5와 외부 라디오에서 시작합니다.,Cinco Continentes_Ebola,,22,12,Flawless,4,Most,3
3,Un espacio en el que tratamos de acercarles la actualidad y el análisis de los acontecimientos más importantes fuera de nuestras fronteras que elaboramos cada día desde el área internacional de la radio pública española. ,스페인 공영 라디오의 국제 분야에서 매일 우리가 만드는 국경 밖의 가장 중요한 사건에 대한 뉴스와 분석을 제공하기위한 공간.,Cinco Continentes_Ebola,,35,18,Flawless,4,Most,3
4,Les habla Miguel Molleda.,Miguel Molleda가 너에게 말한다.,Cinco Continentes_Ebola,,4,4,Disfluent,2,Most,3
5,En nuestro espacio de hoy estaremos en Monrovia para comprobar con Médicos sin Fronteras si la epidemia de ébola está aflojando en uno de los países más afectados por la enfermedad.,에볼라 전염병은 대부분의 질병에 의해 영향을받는 국가에 급증하는 경우 우리는 몬로 비아에있는 우리의 공간에서 오늘은 국경없는 의사 회와 함께 확인합니다.,Cinco Continentes_Ebola,,31,20,Disfluent,2,Most,3
6,Hemos escuchado también hoy al jefe de la misión de Naciones Unidas contra el ébola en África Tony Banbury afirmar que la crisis continúa y que hacen falta muchos más recursos para combatirla.,"우리는 또한 아프리카에서 에볼라에 반대하는 유엔의 사역 책임자 인 토니 반 버리 (Tony Banbury)가 위기가 계속되고 있으며, 더 많은 자원이이를 극복하기 위해 필요하다고 단언했다.",Cinco Continentes_Ebola,,33,24,Disfluent,2,Most,3
7,Tendremos más informaciones también y asuntos en nuestro programa de hoy que les anticipa ya Ana Zurita.,아나 준 리타 (Ana Zurita)가 예상하는 더 많은 정보와 문제가 오늘 우리 프로그램에있을 것입니다.,Cinco Continentes_Ebola,,17,14,Good,3,Most,3
8,"Continúa la tensión en Jerusalén tras los últimos ataques y disturbios que han costado la vida a una persona, ",예루살렘에서 마지막 공격과 폭동으로 인명을 잃은 후에도 긴장이 계속되고 있습니다.,Cinco Continentes_Ebola,,19,10,Disfluent,2,Little,2
9,"Mañana estará en la región la nueva responsable europea de Asuntos Exteriores, la italiana Federica Mogherini.",내일이 지역의 새로운 외무부 (Federal Foreign Affairs) 책임자 인 이탈리아 Fedetera Mogherini가 될 것입니다.,Cinco Continentes_Ebola,,16,14,Disfluent,2,None,1
10,Satisfacción en el gobierno israelí por la renuncia de la corte penal internacional a investigar la muerte de nueve activistas turcos en dos mil diez tras el asalto militar del ejército de Israel a una embarcación de activistas propalestinos que se dirigían a Gaza.,국제 형사 재판소의 사임에 대한 만족도 이스라엘 정부는 이스라엘 군에 의한 군사 공격 가자 지구로 향하고 친 팔레스타인 운동가의 선박 후 2010년에서 구 터키어 운동가의 죽음을 조사합니다.,Cinco Continentes_Ebola,,44,27,Disfluent,2,None,1
11,La Unión Europea investiga si los acuerdos fiscales presidenciales de Luxemburgo con más ende trescientas grandes empresas son legales.,유럽 ,Cinco Continentes_Ebola,,19,1,Incomprehensible,1,None,1
12,"Desde un rincón del mundo hablaremos con Sara Bordar, representante de UNICEF en Madagascar.",모퉁이에서 마다가스카르의 유니세프 (UNICEF) 대표 인 사라 보르 다르 (Sara Bordar)와 이야기하게됩니다.,Cinco Continentes_Ebola,"""desde un rincon"" ""모퉁이에서"" 단어그대로 번역함",14,12,Good,3,Most,3
13,"Y nuestra información por continentes dedicada hoy a Asia se cumple un año del huracán Hayán que arrasó Filipinas,",그리고 오늘날 아시아에 헌정 된 대륙 별 정보는 필리핀을 황폐화시킨 허리케인 하야나 (Harian Haann) 이후 1 년입니다.,Cinco Continentes_Ebola,,19,17,Incomprehensible,1,Little,2
14,Estaremos ahí en las islas filipinas y analizaremos las consecuencias que tuvo este desastre natural.,우리는 필리핀 섬에있을 것이며 우리는이 자연 재해의 결과를 분석 할 것입니다.,Cinco Continentes_Ebola,,15,11,Flawless,4,Everything,4
15,Comenzamos.,우리는 시작한다.,Cinco Continentes_Ebola,,1,2,Good,3,Everything,4
16,"En los últimos días han surgido informaciones sobre una supuesta reducción de la epidemia del ébola en los países, en más castigados por la crisis Guinea, Sierra Leona y Liberia.","최근에는 국가에서 가정 감소 에볼라 전염병의보고가 있었다, 어려운 기니, 시에라 리온과 라이베리아 위기로했다.",Cinco Continentes_Ebola,"""어려운 기니"" ",30,13,Good,3,Most,3
17,En concreto según fuentes de la Organización Mundial de la Salud sobre la incidencia semanal de la enfermedad en África Occidental señalaban que el ébola había disminuído en Liberia. ,특히 세계 보건기구 (WHO)에 따르면 서 아프리카의 주간 발생률은 라이베리아에서 에볼라가 감소한 것으로 나타났다.,Cinco Continentes_Ebola,,29,14,Flawless,4,Everything,4
18,Se mantenía estable en Guinea.,기니에서 안정적이었습니다.,Cinco Continentes_Ebola,,5,2,Flawless,4,Everything,4
19,Y los casos de contagiados por la epidemia habían aumentado en Sierra Leona.,그리고 전염병에 감염된 사람들의 사례가 시에라 리온에서 증가했습니다.,Cinco Continentes_Ebola,,13,8,Flawless,4,Everything,4
20,Hoy en declaraciones a la radio televisión en pública británica BBC el máximo responsable de la misión de Naciones Unidas contra el ébola en África Tony Banbury se refería precisamente a esto.,오늘은 아프리카 토니 밴버리에서 에볼라에 대한 유엔 임무의 머리가 여기에 정확하게 언급했다 공영 방송 BBC 라디오 말했다.,Cinco Continentes_Ebola,"source text does not respect punctuation (commas, etc.)",32,17,Disfluent,2,None,1
21,"Se trata de un panorama mixto, ","그것은 혼합 된 파노라마입니다,",Cinco Continentes_Ebola,,6,4,Flawless,4,Everything,4
22,En algunas zonas está bajando el número de casos como por ejemplo en Monrovia. ,일부 지역에서는 몬로 비아 (Monrovia)와 같이 사례 수가 감소하고 있습니다.,Cinco Continentes_Ebola,,14,10,Flawless,4,Everything,4
23,En otros sin embargo comprobamos una aceleración significativa de la enfermedad.,그러나 다른 사람들에서는 우리가이 질병의 상당한 촉진을 보았습니다.,Cinco Continentes_Ebola,,11,8,Disfluent,2,None,1
24,Pero el representante de la ONU insiste ya en que esta enfermedad es aún una crisis y que todavía no se tienen los recursos necesarios para hacerle frente.,그러나 유엔 대변인은이 질병은 여전히 ,Cinco Continentes_Ebola,,28,5,Disfluent,2,Little,2
25,Esta enfermedad es todavía una auténtica crisis en algunas zonas sin duda. ,이 질병은 의심의 여지없이 일부 분야에서 여전히 진정한 위기입니다.,Cinco Continentes_Ebola,,12,9,Good,3,Everything,4
26,Hay gentes y pueblos que no están recibiendo ninguna ayuda ahora mismo. ,지금 도움을받지 못하는 사람들과 사람들이 있습니다.,Cinco Continentes_Ebola,사람들과 사람들 = gente y pueblos,12,6,Good,3,Most,3
27,Sobre el terreno la comunidad internacional y el mundo no tiene capacidad para acabar con esta enfermedad.,국제 사회와 세계는이 질병을 종식시킬 능력이 없습니다.,Cinco Continentes_Ebola,,17,7,Flawless,4,Everything,4
