Segment ID,Source Segment,Segment Origin,Comments,Human Translation,Human Translation rating,Google Translate,Google Translate rating,Kakao i,Kakao i rating
1,[HEADLINE] El CIS otorga a Susana Díaz una amplia mayoría en las elecciones andaluzas,El País,,CIS의 설문 결과 수사나 디아스가 안달루시아 선거에서 과반수로 승리할 것으로 나타났다.,1,CIS는 Susana Díaz에게 안달루시아 선거에서 대다수를 준다.,2,CIS는 안달루시아 선거에서 수자나 디아즈에게 과반수를 부여한다,2
2,[SUB-HEADLINE] La encuesta sitúa a la coalición de Podemos e IU en segundo lugar y anticipa un empate técnico entre PP y Ciudadanos,El País,,"여론조사 결과 포데모스와 IU 연대가 2위, PP와 시우다다노스가 동률 예상되다.",1,이 설문 조사는 Podemos와 IU의 연합을 두 번째 장소에두고 PP와 Citizens 사이의 기술적 인 관계를 예상합니다,2,이 설문 조사는 Podemos와 IU의 연합을 2 위로 끌어 올리고 PP와 Citizen 사이의 기술적 동점을 예상합니다.,1
3,"La presidenta de la Junta de Andalucía, Susana Díaz, ganaría las próximas elecciones autonómicas con más de 10 puntos de ventaja, pero lejos de la mayoría absoluta (55 escaños de un total de 109), según la encuesta hecha pública este miércoles por el Centro de Investigaciones Sociológicas (CIS). ",El País,,사회학연구센터(CIS)가 이번 수요일 공식 발표한 여론조사에서 안달루시아 의회의 수사나 디아스 의장이 차기 자치선거에서 10석 이상의 우위를 점할 것이지만 과반수(109석 중 55석)는 불가능할 것으로 나타났다. ,1,"유다 데 안달루시아 (Susana Díaz) 의장은 다음 주 지방 선거에서 10 점 이상의 우위를 점할 것으로 예상했지만, 이번 수요일에 센터에 의해 공개 된 설문 조사에 따르면, 절대 다수 (109 개 가운데 55 석) 사회학 연구 (CIS).",2,사회학연구센터(CIS)가 수요일 발표한 여론조사에 따르면 안달루시아 이사회 수잔라 디아즈 회장은 10점 이상 앞선 차기 자치선거에서 승리할 것이지만 절대 다수당(109석 중 55석)에서 벗어나는 것으로 나타났다.,1
4,"La candidata socialista obtendría el 37,41% de los votos y entre 45 y 47 escaños. ",El País,,사회노동당이 37.41%로 45 - 47석을 획득할 전망이다. ,2,사회당 후보는 37.41 %의 표와 45 ~ 47 표의 표를 얻는다. ,1,사회주의 후보자는 투표의 37.41 %와 45-47 석을 얻을 것이다.,2
5,Esta última cifra coincide con el número de diputados que el PSOE tiene en la actualidad. ,El País,,이는 PSOE가 현재 보유하고 있는 의원 수와 일치한다. ,1,이 마지막 숫자는 PSOE가 현재 보유한 대리인의 숫자와 일치합니다. ,2,이 마지막 수치는 현재 PSOE가 보유하고 있는 회원 수와 일치합니다.,2
6,"Con estos resultados, y si no hubiera bloqueos, Díaz podría aspirar a desarrollar lo que ella ha denominado ""gobierno de banda ancha"", que le permitiría dirigir la Junta en minoría con apoyos puntuales de distintas fuerzas políticas.",El País,,"이러한 결과라면, 그리고 장애물이 없다면, 디아스 의장은 자신이 주장한 “광역 정부” 구성을 꿈꿀 수 있을 것이다. 이를 통해 다양한 정치 세력들의 지지를 적시에 받아 의회를 소수로 지휘할 수 있다.",1,"이러한 결과와 함께 장애가없는 경우 Díaz는 그녀가 ""광대역 정부""라고 부른 것을 발전 시켜서 그녀가 다른 정치 세력으로부터 특별한 지원을받는 소수 민족위원회를 이끌 수있게 할 수있었습니다.",2,"이러한 결과와 봉쇄가 없다면 디아즈는 그녀가 ""광역 정부""라고 불렀던 것을 개발하기를 열망할 수 있습니다.이 정부는 다양한 정치 세력의 적시에 지원을 받아 소수 민족으로 이사회를 이끌 수 있습니다.",2
7,"La batalla se juega en el terreno del segundo puesto, donde las tres formaciones principales, PP, Adelante Andalucía —la confluencia entre Podemos e IU— y Ciudadanos llegan muy igualadas, según el sondeo. ",El País,,"이 여론조사에 따르면, 2위를 두고 세 주요 정당인 PP, 아델란떼 안달루시아(포데모스와 IU 연대), 시우다다노스가 아슬아슬한 격차로 대결이 치열하다. ",1,"이 전투는 2 위의 지형에서 진행되는데 PP, Adelante Andalucía (Podemos와 IU- 시민들의 합류는 매우 평평하다.",2,"전투는 PP, Avanta Andalucía - Podemos와 IU 사이의 합류점 -과 시민이 매우 동등한 3 개의 주요 구조물인 2 위 지형에서 진행됩니다.",2
8,"En cuanto a porcentaje de sufragios, la coalición de izquierdas liderada por Teresa Rodríguez se situaría en segunda posición, con un 19,34%;",El País,,득표율로는 테레사 로드리게스가 이끄는 좌파연대가 19.34%로 2위를 차지할 전망이다.,1,투표율에 대해서는 테레사 로드리게스 (Teresa Rodríguez)가 이끄는 좌파 연합이 19.34 %로 2 위에 올랐다.,1,"선거권의 비율에 관해서는, 테레사 로드리게스가 이끄는 좌파 연합은 19.34 %로 두 번째 위치에 있을 것이다.",2
9,"pero mantendría 20 escaños, la cifra que actualmente suman los diputados de ambas formaciones en el Parlamento (15 Podemos y 5 IU).",El País,,"그러나 의석은 20석을 유지할 것이다. 이는 양당의 총 현역 의원 수와 같다(포데모스 15석, IU 5석).",1,그러나 의회의 두 대의 대의원이 현재 추가로 (15 개의 Podemos와 5 개의 IU) 추가하는 20 석을 유지할 것입니다.,2,그러나 20 석을 유지할 것입니다. 현재 의회의 두 구조물의 회원들이 합산한 수치입니다 (15 Podemos와 5 IU).,2
10,"Quienes mantienen un empate técnico son PP y Ciudadanos, los primeros con un 18,66% de voto y el segundo con un 18,55%, que se traduce en idéntico número de representantes en el Parlamento andaluz: una horquilla que va de los 20 a los 22.",El País,,PP와 시우다다노스는 각각 18.66%와 18.55%로 동률이다. 이는 안달루시아 의회에서는 같은 의석 수인 20-22석 사이를 의미한다.,1,"기술적 인 관계를 유지하는 사람들은 PP와 시민이며, 18.66 %의 투표권을 가진 첫 번째 사람과 18.55 %의 사람인 두 번째 사람은 안달루시아 의회 의원과 같은 수의 사람으로 번역됩니다. 머리말은 20 22시에",2,"기술적인 동점은 PP와 시민이며, 투표는 18.66 %이고 후자는 18.55 %로 안달루시아 의회의 동일한 수의 대표로 번역됩니다. 20에서 22까지의 머리핀입니다.",2
