Segment Length,Post-edit Time(ms),Edit Effort
14,133980.0,26
23,242690.0,73
47,233700.0,34
15,95780.0,56
16,36360.0,12
37,406780.0,75
32,257090.0,52
22,104350.0,44
22,151900.0,28
44,258540.0,80
34,175200.0,23
44,415810.0,61
23,122890.0,33
33,275000.0,71
26,143870.0,17
40,323900.0,80
8,42000.0,56
75,384830.0,76
39,346650.0,49
16,89510.0,75
24,33110.0,0
36,350780.0,65
15,104170.0,6
8,17680.0,21
36,156340.0,14
30,127970.0,69
12,710.0,0
32,338620.0,66
26,147480.0,19
21,186750.0,49
19,123900.0,25
32,223030.0,62
27,121140.0,53
29,65580.0,55
11,423790.0,42
52,150510.0,74
17,33420.0,29
23,78060.0,45
5,18940.0,19
7,23520.0,76
13,35910.0,25
9,13080.0,21
14,34610.0,0
7,103870.0,70
31,184890.0,32
29,210030.0,70
28,261960.0,63
24,47800.0,70
9,11310.0,0
41,441450.0,79
25,44470.0,14
59,379020.0,63
42,203450.0,52
49,488830.0,79
31,138240.0,20
28,276080.0,51
19,50530.0,6
22,95050.0,54
29,30450.0,0
7,30850.0,65
19,269630.0,28
3,12630.0,43
3,8760.0,13
6,17710.0,40
5,26670.0,31
12,92460.0,63
26,141220.0,20
17,74120.0,63
41,171880.0,24
20,98310.0,39
28,60570.0,0
21,207640.0,74
37,177320.0,45
19,93850.0,75
31,136400.0,34
19,125980.0,59
22,60290.0,12
25,142980.0,66
11,25150.0,23
20,75820.0,71
16,52030.0,15
27,292050.0,61
29,118790.0,7
25,164330.0,58
20,76760.0,26
21,56860.0,58
15,70520.0,44
29,102570.0,56
9,18690.0,7
20,82460.0,60
17,86710.0,11
18,79060.0,60
16,44920.0,26
25,193310.0,58
16,77440.0,13
20,249450.0,51
21,31470.0,17
58,356500.0,78
8,8370.0,0
13,125360.0,58
17,35330.0,6
26,88240.0,61
26,235790.0,35
24,197190.0,73
22,129730.0,26
13,125910.0,71
12,119790.0,64
19,80440.0,56
25,57720.0,53
10,151870.0,52
6,3730.0,0
19,45830.0,70
31,179840.0,20
33,523900.0,67
7,124780.0,18
29,190760.0,74
9,8630.0,0
35,108160.0,65
13,21410.0,12
27,118660.0,53
22,84220.0,1
54,373550.0,72
14,263970.0,36
20,45690.0,56
25,108780.0,24
21,193330.0,78
36,201090.0,37
18,75680.0,75
16,73130.0,29
35,183610.0,72
16,8010.0,0
60,649980.0,78
18,31250.0,8
30,203690.0,72
21,152710.0,57
7,62180.0,48
11,36600.0,0
15,95440.0,41
53,169540.0,25
27,113250.0,29
23,86160.0,40
35,171390.0,45
32,117310.0,21
25,108820.0,61
7,2480.0,0
22,94750.0,69
21,41530.0,12
49,341580.0,59
13,46180.0,22
19,119880.0,74
36,238440.0,62
20,78620.0,61
25,199130.0,29
30,268570.0,74
12,40440.0,0
32,274150.0,79
17,197530.0,65
24,124790.0,25
17,67510.0,43
15,59860.0,73
33,95520.0,13
14,124580.0,60
39,122270.0,19
31,211560.0,56
47,181620.0,32
60,556710.0,62
24,92030.0,20
25,79030.0,34
20,610210.0,50
19,76390.0,51
30,57360.0,24
55,298520.0,64
12,49860.0,0
70,562440.0,81
23,114740.0,46
30,342050.0,46
30,102440.0,35
13,51300.0,77
15,175470.0,70
10,77820.0,50
31,256950.0,39
23,198940.0,61
8,9810.0,0
11,44780.0,34
19,33130.0,9
21,82450.0,51
20,104470.0,15
28,184330.0,61
31,275310.0,28
82,773410.0,70
33,324930.0,69
20,114000.0,63
27,96300.0,22
29,170460.0,57
13,16850.0,0
70,455660.0,66
11,29970.0,5
32,150960.0,41
16,112510.0,28
42,353440.0,44
9,9760.0,0
19,88280.0,67
33,263460.0,61
10,60140.0,48
14,25000.0,15
15,41250.0,63
4,6280.0,0
56,395700.0,64
40,168920.0,19
26,125060.0,56
30,116530.0,23
43,135420.0,56
31,25210.0,0
33,271490.0,66
59,211410.0,72
23,142150.0,61
39,50340.0,0
44,276280.0,74
41,85580.0,9
8,61610.0,71
10,30400.0,22
11,88380.0,48
23,26540.0,0
31,57920.0,69
23,22070.0,5
27,106010.0,77
48,172110.0,29
13,46270.0,29
23,52610.0,23
72,563050.0,72
19,33120.0,23
9,44630.0,70
42,161190.0,71
32,88820.0,37
10,40140.0,6
13,48490.0,78
47,230610.0,70
27,91290.0,75
18,34320.0,0
13,90210.0,36
20,113450.0,0
13,42670.0,60
22,21920.0,0
41,413170.0,79
44,228590.0,61
19,67820.0,54
41,498010.0,20
5,8880.0,69
26,30030.0,8
34,240840.0,57
54,262260.0,50
41,202390.0,51
19,51370.0,29
