Segment Length,Post-edit Time(ms),Edit Effort
14,354000.0,39
23,584720.0,52
47,501140.0,42
15,213640.0,45
16,118840.0,20
37,659900.0,56
32,983930.0,49
22,183500.0,52
22,384310.0,74
44,1025070.0,65
34,1007300.0,36
44,1023420.0,75
23,487400.0,44
33,418810.0,70
26,374380.0,56
40,514980.0,69
8,99410.0,37
75,1613060.0,57
39,594790.0,51
16,119290.0,49
24,93310.0,12
36,508690.0,36
15,225340.0,6
8,56430.0,33
36,197670.0,15
30,193560.0,22
12,58950.0,24
32,488500.0,44
26,319530.0,72
21,258770.0,19
19,173080.0,40
32,195160.0,5
27,174440.0,50
29,447190.0,51
11,258420.0,45
52,922430.0,66
17,128850.0,36
23,688350.0,23
5,63370.0,16
7,51520.0,67
13,88840.0,78
9,50820.0,0
14,122410.0,2
7,65970.0,76
31,443940.0,56
29,376990.0,55
28,614810.0,68
24,234760.0,25
9,40520.0,30
41,1424360.0,84
25,121570.0,22
59,1076470.0,71
42,534440.0,50
49,102590.0,3
31,606110.0,39
28,208640.0,66
19,420850.0,20
22,259650.0,37
29,240920.0,28
7,61740.0,84
19,286190.0,6
3,4720.0,12
3,19960.0,13
6,14140.0,70
5,175770.0,51
12,27250.0,33
26,120800.0,50
17,121830.0,26
41,387850.0,41
20,121080.0,43
28,110980.0,19
21,164490.0,32
37,282330.0,40
19,138920.0,50
31,212560.0,59
19,83400.0,53
22,52130.0,30
25,141070.0,36
11,21400.0,23
20,64740.0,50
16,104500.0,19
27,181460.0,35
29,281220.0,36
25,386320.0,37
20,257270.0,26
21,100240.0,27
15,91450.0,36
29,67010.0,8
9,108780.0,16
20,110100.0,74
17,114240.0,17
18,100700.0,44
16,119770.0,32
25,138620.0,69
16,143270.0,21
20,166540.0,33
21,82330.0,9
58,208820.0,40
8,32220.0,35
13,38180.0,46
17,30450.0,8
26,74270.0,48
26,196880.0,32
24,79410.0,56
22,166000.0,28
13,130350.0,53
12,47090.0,14
19,47980.0,56
25,100790.0,54
10,49500.0,55
6,54400.0,16
19,90100.0,57
31,336400.0,36
33,245110.0,55
7,69660.0,24
29,284090.0,68
9,23040.0,11
35,122700.0,46
13,25390.0,15
27,140890.0,54
22,33080.0,14
54,542130.0,68
14,204650.0,63
20,100070.0,35
25,86980.0,28
21,265880.0,69
36,339340.0,29
18,91200.0,80
16,80040.0,37
35,222940.0,71
16,64280.0,6
60,900040.0,59
18,119950.0,25
30,272970.0,65
21,359010.0,55
7,66530.0,52
11,70280.0,12
15,59670.0,65
53,182250.0,30
27,202940.0,38
23,84360.0,29
35,181480.0,47
32,402010.0,45
25,126430.0,56
7,20510.0,38
22,90120.0,32
21,144090.0,40
49,259650.0,59
13,85920.0,51
19,99500.0,38
36,325580.0,45
20,199390.0,36
25,193540.0,21
30,209310.0,78
12,90140.0,76
32,425890.0,74
17,121130.0,36
24,60390.0,69
17,112370.0,25
15,65690.0,38
33,242480.0,41
14,9540.0,100
39,116460.0,34
31,136310.0,68
47,248400.0,44
60,493400.0,57
24,118440.0,33
25,104900.0,42
20,122550.0,61
19,91300.0,39
30,53420.0,19
55,298320.0,67
12,17920.0,0
70,659410.0,77
23,136580.0,48
30,229090.0,38
30,170670.0,70
13,69700.0,82
15,221740.0,71
10,30160.0,30
31,133170.0,16
23,138680.0,68
8,34590.0,41
11,35090.0,53
19,73190.0,39
21,148450.0,57
20,61170.0,27
28,255740.0,71
31,93190.0,5
82,30150.0,86
33,269060.0,50
20,176550.0,72
27,177360.0,29
29,174130.0,41
13,44760.0,10
70,388790.0,77
11,66090.0,29
32,102010.0,55
16,105720.0,32
42,308290.0,59
9,21580.0,15
19,109420.0,48
33,200100.0,51
10,57290.0,55
14,45660.0,35
15,100430.0,63
4,90680.0,25
56,550410.0,65
40,196750.0,36
26,190200.0,31
30,138430.0,16
43,209820.0,34
31,55280.0,12
33,216930.0,53
59,440410.0,62
23,178540.0,69
39,226780.0,24
44,381770.0,70
41,100280.0,8
8,31180.0,71
10,38100.0,25
11,24360.0,32
23,41220.0,24
31,139690.0,51
23,101360.0,24
27,129090.0,45
48,197620.0,36
13,25790.0,39
23,75000.0,19
72,485930.0,69
19,27060.0,8
9,42080.0,56
42,173780.0,77
32,177280.0,31
10,28580.0,40
13,95730.0,61
47,285900.0,72
27,261590.0,75
18,62360.0,14
13,44130.0,11
20,61020.0,60
13,54810.0,73
22,77800.0,33
41,310280.0,54
44,272580.0,62
19,134290.0,77
41,196080.0,65
5,48200.0,76
26,73530.0,47
34,226980.0,74
54,297330.0,60
41,175740.0,69
19,51280.0,40
