Segment Length,Post-edit Time(ms),Edit Effort
14,63680.0,5
23,15180.0,42
47,92450.0,42
15,82860.0,44
16,19970.0,7
37,26280.0,56
32,202020.0,42
22,111890.0,30
22,91010.0,22
44,279460.0,68
34,101820.0,5
44,256350.0,65
23,113320.0,52
33,15210.0,80
26,70250.0,15
40,112030.0,76
8,47770.0,20
75,28500.0,50
39,62130.0,13
16,66530.0,43
24,48070.0,10
36,3230.0,71
15,45870.0,20
8,33260.0,45
36,53440.0,3
30,84580.0,68
12,5490.0,0
32,109770.0,62
26,83230.0,8
21,13530.0,42
19,23430.0,0
32,32170.0,28
27,63940.0,44
29,68090.0,58
11,11030.0,27
52,256220.0,58
17,43490.0,25
23,119340.0,42
5,1980.0,0
7,17150.0,76
13,30700.0,78
9,21470.0,25
14,14160.0,0
7,2990.0,72
31,89040.0,28
29,107240.0,61
28,96940.0,38
24,9240.0,51
9,2780.0,0
41,22530.0,81
25,17350.0,4
59,43140.0,66
42,95170.0,54
49,28010.0,69
31,107440.0,30
28,8050.0,34
19,11950.0,0
22,15810.0,56
29,21030.0,8
7,7690.0,64
19,46790.0,10
3,12210.0,50
3,10380.0,66
6,10830.0,55
5,21480.0,0
12,8250.0,34
26,42120.0,26
17,7800.0,48
41,98910.0,22
20,13860.0,45
28,24150.0,1
21,9230.0,67
37,107300.0,26
19,11990.0,80
31,94020.0,33
19,17990.0,55
22,18780.0,13
25,10310.0,63
11,17640.0,13
20,9750.0,72
16,21610.0,19
27,8470.0,70
29,48330.0,22
25,244240.0,56
20,27220.0,0
21,57490.0,50
15,34200.0,9
29,7790.0,62
9,9580.0,0
20,7630.0,62
17,18530.0,0
18,40730.0,66
16,24210.0,13
25,25680.0,70
16,9460.0,0
20,14650.0,78
21,10930.0,0
58,249560.0,67
8,10980.0,21
13,7310.0,36
17,16850.0,6
26,10610.0,51
26,60020.0,33
24,17410.0,65
22,19910.0,17
13,15130.0,65
12,10680.0,24
19,27000.0,50
25,43810.0,48
10,13240.0,58
6,1620.0,0
19,9260.0,66
31,83560.0,11
33,98340.0,54
7,2770.0,0
29,99980.0,73
9,1830.0,0
35,107830.0,54
13,2640.0,0
27,107690.0,50
22,3530.0,0
54,182310.0,73
14,50690.0,0
20,73070.0,64
25,24620.0,0
21,141660.0,79
36,90620.0,25
18,77590.0,66
16,26680.0,0
35,15900.0,69
16,24320.0,0
60,6140.0,56
18,10090.0,0
30,93990.0,67
21,42070.0,16
7,42810.0,67
11,20730.0,0
15,19040.0,39
53,81590.0,43
27,23150.0,50
23,28390.0,27
35,26270.0,57
32,15870.0,2
25,16900.0,58
7,6700.0,0
22,62150.0,73
21,18100.0,0
49,244480.0,65
13,12450.0,0
19,59410.0,68
36,130060.0,42
20,84430.0,62
25,19270.0,0
30,12740.0,75
12,8560.0,0
32,18100.0,78
17,71990.0,54
24,70710.0,29
17,11950.0,0
15,42980.0,74
33,32620.0,14
14,39320.0,71
39,45610.0,11
31,111880.0,57
47,98430.0,38
60,35590.0,59
24,55550.0,18
25,71020.0,40
20,62770.0,19
19,61790.0,54
30,30120.0,13
55,178660.0,70
12,1900.0,0
70,47960.0,82
23,55140.0,20
30,136540.0,59
30,44800.0,1
13,53460.0,72
15,75120.0,31
10,59620.0,71
31,100460.0,15
23,76900.0,56
8,1810.0,0
11,33310.0,60
19,38870.0,0
21,60840.0,66
20,42760.0,24
28,111480.0,44
31,52730.0,1
82,145600.0,75
33,113240.0,16
20,106500.0,62
27,17730.0,0
29,161870.0,56
13,5610.0,0
70,224000.0,70
11,27710.0,0
32,93710.0,53
16,102750.0,16
42,167120.0,67
9,1600.0,0
19,84190.0,38
33,76540.0,34
10,26330.0,37
14,15750.0,0
15,42590.0,62
4,2130.0,0
56,4590.0,53
40,21350.0,0
26,83140.0,25
30,35200.0,0
43,38600.0,25
31,45670.0,6
33,84460.0,20
59,121400.0,50
23,92300.0,33
39,25730.0,0
44,201250.0,74
41,23350.0,0
8,50740.0,66
10,23750.0,0
11,10420.0,32
23,5400.0,0
31,53560.0,14
23,14460.0,6
27,42510.0,38
48,48900.0,17
13,36450.0,73
23,12610.0,6
72,182830.0,69
19,14070.0,2
9,23050.0,62
42,73840.0,64
32,89500.0,40
10,27590.0,0
13,11250.0,73
47,124400.0,48
27,61010.0,76
18,12470.0,0
13,25670.0,35
20,8840.0,0
13,39130.0,62
22,9460.0,0
41,150190.0,75
44,49620.0,11
19,38060.0,58
41,71330.0,16
5,22680.0,40
26,51240.0,10
34,61420.0,25
54,220980.0,48
41,112640.0,57
19,24270.0,12
