Segment Length,Post-edit Time(ms),Edit Effort
14,98020.0,12
23,172210.0,52
47,184240.0,66
15,135500.0,33
16,32360.0,10
37,461160.0,82
32,201230.0,59
22,76120.0,40
22,147040.0,72
44,188810.0,71
34,219010.0,10
44,410550.0,77
23,140940.0,31
33,363920.0,73
26,118500.0,50
40,298620.0,82
8,66900.0,44
75,486900.0,71
39,351840.0,34
16,72840.0,77
24,25750.0,5
36,231340.0,69
15,179750.0,30
8,63840.0,55
36,188680.0,19
30,133390.0,72
12,17530.0,0
32,239470.0,63
26,167740.0,27
21,114130.0,50
19,147200.0,40
32,158280.0,50
27,87400.0,40
29,206190.0,62
11,77170.0,30
52,152790.0,73
17,48490.0,35
23,243640.0,38
5,35850.0,12
7,16950.0,76
13,60110.0,35
9,18450.0,22
14,28090.0,0
7,69640.0,72
31,125840.0,17
29,182710.0,68
28,81500.0,30
24,126660.0,75
9,14490.0,14
41,445070.0,76
25,33680.0,9
59,414840.0,68
42,280050.0,50
49,365150.0,80
31,108870.0,66
28,134240.0,77
19,37030.0,0
22,75180.0,70
29,42000.0,7
7,51860.0,61
19,111270.0,3
3,16260.0,62
3,10940.0,60
6,17930.0,25
5,49140.0,23
12,65460.0,48
26,44890.0,9
17,216210.0,53
41,82290.0,1
20,115090.0,57
28,30880.0,0
21,118610.0,57
37,191010.0,78
19,208690.0,80
31,202990.0,56
19,58840.0,53
22,35150.0,16
25,111760.0,45
11,17700.0,39
20,44110.0,74
16,62920.0,0
27,105700.0,67
29,187670.0,25
25,91370.0,59
20,85420.0,14
21,108310.0,50
15,79910.0,28
29,143550.0,68
9,22400.0,26
20,138880.0,68
17,29920.0,6
18,80050.0,71
16,49900.0,11
25,153550.0,33
16,73830.0,10
20,105020.0,76
21,29420.0,0
58,326910.0,62
8,24350.0,25
13,50500.0,55
17,34350.0,0
26,90060.0,72
26,46780.0,28
24,126490.0,73
22,72320.0,29
13,91550.0,61
12,43870.0,41
19,37450.0,60
25,72760.0,58
10,36970.0,52
6,10460.0,14
19,39360.0,59
31,177940.0,32
33,147910.0,54
7,30420.0,31
29,161830.0,75
9,30210.0,20
35,142930.0,56
13,35960.0,17
27,177470.0,31
22,33680.0,1
54,269850.0,71
14,90340.0,73
20,160530.0,63
25,76050.0,19
21,88540.0,65
36,176430.0,30
18,130520.0,55
16,90460.0,34
35,263570.0,72
16,15110.0,0
60,540730.0,65
18,17470.0,0
30,169180.0,61
21,123940.0,37
7,50340.0,50
11,44130.0,19
15,72600.0,62
53,143950.0,30
27,92110.0,89
23,105690.0,36
35,120960.0,40
32,102760.0,11
25,88720.0,67
7,15500.0,30
22,109390.0,61
21,40790.0,11
49,178260.0,65
13,51700.0,15
19,146400.0,66
36,143440.0,40
20,121080.0,55
25,74230.0,8
30,164630.0,74
12,48990.0,14
32,133580.0,74
17,63020.0,52
24,66590.0,72
17,60090.0,0
15,53040.0,53
33,79710.0,13
14,90250.0,67
39,119220.0,20
31,216950.0,70
47,155120.0,37
60,263490.0,65
24,60800.0,21
25,98290.0,41
20,83240.0,26
19,100520.0,71
30,60470.0,18
55,364330.0,71
12,16950.0,0
70,404310.0,57
23,129780.0,30
30,181050.0,58
30,89690.0,16
13,64650.0,74
15,97140.0,59
10,32240.0,67
31,130870.0,21
23,76450.0,52
8,46590.0,42
11,16330.0,60
19,73610.0,19
21,79530.0,44
20,45640.0,5
28,115550.0,65
31,75640.0,1
82,361210.0,80
33,118290.0,48
20,138640.0,63
27,47200.0,8
29,125600.0,50
13,18360.0,0
70,428610.0,73
11,87470.0,11
32,129730.0,53
16,49850.0,18
42,239680.0,51
9,10330.0,0
19,39980.0,45
33,158250.0,49
10,34320.0,54
14,58970.0,16
15,61940.0,70
4,28590.0,20
56,130540.0,51
40,131000.0,24
26,102670.0,68
30,42620.0,3
43,150940.0,58
31,30700.0,6
33,147480.0,59
59,241400.0,79
23,80410.0,58
39,44490.0,0
44,174320.0,80
41,60280.0,1
8,70960.0,56
10,11730.0,30
11,20800.0,20
23,16590.0,0
31,67370.0,60
23,60080.0,5
27,54010.0,80
48,102170.0,23
13,28710.0,88
23,42680.0,25
72,227770.0,71
19,36840.0,33
9,23070.0,53
42,126480.0,72
32,115080.0,64
10,59110.0,6
13,22740.0,65
47,93890.0,52
27,78150.0,76
18,17010.0,0
13,39490.0,60
20,11230.0,0
13,82610.0,68
22,19910.0,0
41,198130.0,75
44,175040.0,57
19,47630.0,71
41,47580.0,9
5,31940.0,92
26,50730.0,24
34,112570.0,70
54,49410.0,7
41,236400.0,56
19,63530.0,33
